gene,geneLabel,ensemble_symbol,protein,proteinLabel
http://www.wikidata.org/entity/Q15996565,ASXL3,ENSG00000141431,http://www.wikidata.org/entity/Q21097548,ASXL transcriptional regulator 3
http://www.wikidata.org/entity/Q15996565,ASXL3,ENSG00000141431,http://www.wikidata.org/entity/Q21140513,Putative Polycomb group protein ASXL3
http://www.wikidata.org/entity/Q15996927,NKX3-2,ENSG00000109705,http://www.wikidata.org/entity/Q21123096,NK3 homeobox 2
http://www.wikidata.org/entity/Q17119392,GOLPH3,ENSG00000113384,http://www.wikidata.org/entity/Q21202979,Golgi phosphoprotein 3
http://www.wikidata.org/entity/Q17707208,AARS1,ENSG00000090861,http://www.wikidata.org/entity/Q21135759,Alanyl-tRNA synthetase 1
http://www.wikidata.org/entity/Q17708701,ABL2,ENSG00000143322,http://www.wikidata.org/entity/Q21104796,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
http://www.wikidata.org/entity/Q17709258,ACTA2,ENSG00000107796,http://www.wikidata.org/entity/Q21110401,"Actin alpha 2, smooth muscle"
http://www.wikidata.org/entity/Q17709258,ACTA2,ENSG00000107796,http://www.wikidata.org/entity/Q21142355,"Actin, aortic smooth muscle"
http://www.wikidata.org/entity/Q17709536,ADAM10,ENSG00000137845,http://www.wikidata.org/entity/Q21113783,ADAM metallopeptidase domain 10
http://www.wikidata.org/entity/Q17709536,ADAM10,ENSG00000137845,http://www.wikidata.org/entity/Q21137187,"ADAM metallopeptidase domain 10, isoform CRA_b"
http://www.wikidata.org/entity/Q17709536,ADAM10,ENSG00000137845,http://www.wikidata.org/entity/Q21137617,Disintegrin and metalloproteinase domain-containing protein 10
http://www.wikidata.org/entity/Q17709600,ADCY1,ENSG00000164742,http://www.wikidata.org/entity/Q21111202,Adenylate cyclase 1
http://www.wikidata.org/entity/Q17710293,ADH7,ENSG00000196344,http://www.wikidata.org/entity/Q21096468,"Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"
http://www.wikidata.org/entity/Q17710293,ADH7,ENSG00000196344,http://www.wikidata.org/entity/Q21150798,Alcohol dehydrogenase class 4 mu/sigma chain
http://www.wikidata.org/entity/Q17710475,ADRA1B,ENSG00000170214,http://www.wikidata.org/entity/Q4734886,Adrenoceptor alpha 1B
http://www.wikidata.org/entity/Q17710555,ADRA2C,ENSG00000184160,http://www.wikidata.org/entity/Q4734891,Adrenoceptor alpha 2C
http://www.wikidata.org/entity/Q17815746,TLE5,ENSG00000104964,http://www.wikidata.org/entity/Q21139116,"TLE family member 5, transcriptional modulator"
http://www.wikidata.org/entity/Q17815968,AGL,ENSG00000162688,http://www.wikidata.org/entity/Q1532471,"Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"
http://www.wikidata.org/entity/Q17816398,AK1,ENSG00000106992,http://www.wikidata.org/entity/Q21130938,Adenylate kinase 1
http://www.wikidata.org/entity/Q17816607,ALAS2,ENSG00000158578,http://www.wikidata.org/entity/Q21100328,5'-aminolevulinate synthase 2
http://www.wikidata.org/entity/Q17828883,AOAH,ENSG00000136250,http://www.wikidata.org/entity/Q21137416,Acyloxyacyl hydrolase
http://www.wikidata.org/entity/Q17828883,AOAH,ENSG00000136250,http://www.wikidata.org/entity/Q22679814,Acyloxyacyl hydrolase
http://www.wikidata.org/entity/Q17829130,APBA2,ENSG00000034053,http://www.wikidata.org/entity/Q21111501,Amyloid beta precursor protein binding family A member 2
http://www.wikidata.org/entity/Q17829130,APBA2,ENSG00000034053,http://www.wikidata.org/entity/Q21117663,Amyloid beta A4 precursor protein-binding family A member 2
http://www.wikidata.org/entity/Q17829281,APBB2,ENSG00000163697,http://www.wikidata.org/entity/Q21116199,Amyloid beta precursor protein binding family B member 2
http://www.wikidata.org/entity/Q17829281,APBB2,ENSG00000163697,http://www.wikidata.org/entity/Q21139579,Amyloid beta A4 precursor protein-binding family B member 2
http://www.wikidata.org/entity/Q17832129,ARSD,ENSG00000006756,http://www.wikidata.org/entity/Q21154319,Arylsulfatase D
http://www.wikidata.org/entity/Q17832212,ASGR1,ENSG00000141505,http://www.wikidata.org/entity/Q21130024,Asialoglycoprotein receptor 1
http://www.wikidata.org/entity/Q17832622,ATF1,ENSG00000123268,http://www.wikidata.org/entity/Q21116796,Activating transcription factor 1
http://www.wikidata.org/entity/Q17833354,ATP2B2,ENSG00000157087,http://www.wikidata.org/entity/Q21115347,ATPase plasma membrane Ca2+ transporting 2
http://www.wikidata.org/entity/Q17833354,ATP2B2,ENSG00000157087,http://www.wikidata.org/entity/Q21141988,Plasma membrane calcium-transporting ATPase 2
http://www.wikidata.org/entity/Q17833599,ATP5F1A,ENSG00000152234,http://www.wikidata.org/entity/Q21109232,ATP synthase F1 subunit alpha
http://www.wikidata.org/entity/Q17833599,ATP5F1A,ENSG00000152234,http://www.wikidata.org/entity/Q21138113,"ATP synthase subunit alpha, mitochondrial"
http://www.wikidata.org/entity/Q17834057,ATP5MC2,ENSG00000135390,http://www.wikidata.org/entity/Q21132740,ATP synthase membrane subunit c locus 2
